CID,CRPName
N00034296,   "Aalders, Tim"
N00036765,   "Ables, Wayne"
N00036633,   "Abraham, Ralph"
N00027398,   "Acosta, Raul"
N00029081,   "Adame, Marhshall"
N00035451,   "Adams, Alma"
N00032432,   "Adams, John"
N00035389,   "Adams, Steve"
N00036376,   "Adams, Thomas A"
N00031338,   "Adcock, Dee"
N00003028,   "Aderholt, Robert B"
N00033997,   "Aguilar, Pete"
N00035909,   "Aiken, Clay"
N00036001,   "Aikens, William"
N00033916,   "Alameel, David"
N00035564,   "Alas, Art"
N00036483,   "Alberson, Floyd Wayne"
N00009888,   "Alexander, Lamar"
N00035983,   "Alexander, Lewis"
N00033720,   "Allen, Richard W"
N00036679,   "Allison, Joy Jennifer"
N00031084,   "Amador, Tony"
N00031938,   "Amash, Justin"
N00031177,   "Amodei, Mark"
N00033885,   "Anderson, Dennis"
N00036108,   "Anderson, Peter O"
N00035343,   "Anderson, Quentin"
N00036730,   "Andrews, Matthew"
N00036777,   "Angel, Dark"
N00036746,   "Ansley, Justin"
N00035414,   "Appel, Staci"
N00034703,   "Armstrong, Brandon"
N00005697,   "Ashby, Ken"
N00005293,   "Ashford, Brad"
N00026113,   "Assini, Mark"
N00031491,   "Atanus, Susanne"
N00035012,   "Atwood, Frank"
N00035058,   "August, Bernie"
N00035733,   "Aulenti, James"
N00034173,   "Ayers, Avery"
N00030980,   "Ayotte, Kelly"
N00035027,   "Baber, Bob Henry"
N00005736,   "Babin, Brian"
N00027493,   "Bachmann, Michele"
N00008091,   "Bachus, Spencer"
N00035528,   "Bailey, Bill"
N00036336,   "Bakari, Kamau Akil"
N00036368,   "Balchunis, Mary Ellen"
N00035040,   "Baldwin, Raymond"
N00004367,   "Baldwin, Tammy"
N00036208,   "Ball, Gordon"
N00035112,   "Ballard, Scott J"
N00035896,   "Banach, Dave"
N00036602,   "Baratelli, Joe"
N00033981,   "Barber, Ron"
N00025804,   "Bardel, Hank"
N00035310,   "Barfield, Jonathan"
N00025495,   "Barletta, Lou"
N00034885,   "Barnhart, Scott J"
N00031233,   "Barr, Andy"
N00036815,   "Barr, Christina"
N00006236,   "Barrasso, John A"
N00035037,   "Barrilleaux, Bryan"
N00036384,   "Barron, Bill"
N00026080,   "Barrow, John"
N00005656,   "Barton, Joe"
N00036660,   "Basler, Doug"
N00036469,   "Bass, Herbert"
N00031877,   "Bass, Karen"
N00036598,   "Batson, Randall"
N00036706,   "Bauer, Lee"
N00036609,   "Beard, Mark T"
N00033904,   "Beatty, Joyce"
N00009774,   "Becerra, Xavier"
N00036584,   "Beck, Gwendolyn"
N00029901,   "Begich, Mark"
N00035623,   "Belgard, Aimee"
N00000871,   "Bell, Jeff"
N00014711,   "Bell, Philip H"
N00034793,   "Bellone, Alan"
N00035660,   "Bellows, Shenna"
N00031934,   "Benishek, Dan"
N00030608,   "Bennet, Michael F"
N00033625,   "Bentivolio, Kerry"
N00030717,   "Bera, Ami"
N00032405,   "Bergmann, Charlotte"
N00036780,   "Berman, Mike"
N00031994,   "Best, Russell"
N00035997,   "Betz, John"
N00036018,   "Beyer, Don"
N00027462,   "Bilirakis, Gus"
N00036449,   "Bishop, Mike"
N00025292,   "Bishop, Rob"
N00002674,   "Bishop, Sanford"
N00025413,   "Bishop, Timothy H"
N00031539,   "Black, Diane"
N00030082,   "Black, Phil"
N00003105,   "Blackburn, Marsha"
N00035971,   "Blair, Paul"
N00036836,   "Blais, Dianne L"
N00036834,   "Blais, Gerard"
N00031690,   "Blakeman, Bruce"
N00034999,   "Blue, Antonio"
N00033744,   "Blum, Rod"
N00007727,   "Blumenauer, Earl"
N00031685,   "Blumenthal, Richard"
N00005195,   "Blunt, Roy"
N00032925,   "Boal, Ellis"
N00035727,   "Bock, Joe"
N00003675,   "Boehner, John"
N00036578,   "Boggs, Tom"
N00031805,   "Boler, Mark"
N00033474,   "Bonamici, Suzanne"
N00033342,   "Bongino, Dan"
N00035577,   "Bonner, Jay Alan"
N00035267,   "Booker, Cory"
N00013873,   "Boozman, John"
N00024866,   "Bordallo, Madeleine Z"
N00036430,   "Bossi, Jill"
N00035420,   "Bost, Mike"
N00026595,   "Boustany, Charles W Jr"
N00035465,   "Bowden, Craig"
N00034622,   "Bowman, Joe"
N00036148,   "Bowman, Terry"
N00006692,   "Boxer, Barbara"
N00035307,   "Boyle, Brendan"
N00036816,   "Boyle, Stephen"
N00034812,   "Bradley, Wes"
N00005883,   "Brady, Kevin"
N00001619,   "Brady, Robert A"
N00036563,   "Brady, Ross"
N00027464,   "Braley, Bruce"
N00036227,   "Brand, Grant"
N00035871,   "Brannigan, Sharon"
N00036302,   "Brannon, Josh"
N00036013,   "Brat, Dave"
N00036223,   "Bray, Mark"
N00033532,   "Bridenstine, James"
N00035322,   "Brikho, George"
N00035959,   "Brion, Scott Floyd"
N00024983,   "Briscoe, Frank"
N00033911,   "Bromell-Tinubu, Gloria"
N00002517,   "Bronson, Bill"
N00036784,   "Brooks, David"
N00030910,   "Brooks, Mo"
N00033495,   "Brooks, Susan"
N00028986,   "Broun, Paul"
N00036832,   "Brown, Bo C"
N00002713,   "Brown, Corrine"
N00035759,   "Brown, Don"
N00036634,   "Brown, Harris"
N00036447,   "Brown, James"
N00005362,   "Brown, Raymond"
N00031174,   "Brown, Scott"
N00003535,   "Brown, Sherrod"
N00034590,   "Brown, Steve"
N00034254,   "Brownley, Julia"
N00035139,   "Brubaker, Richard"
N00031804,   "Bruner, Cory"
N00030237,   "Bryan, Jim"
N00035749,   "Buchal, James"
N00027626,   "Buchanan, Vernon"
N00030829,   "Buck, Kenneth R"
N00036614,   "Buckley, John"
N00031227,   "Bucshon, Larry"
N00036739,   "Buhrdorf, Dan"
N00035874,   "Bumpers, Robert"
N00035901,   "Burgess, Jeremy"
N00025219,   "Burgess, Michael"
N00034080,   "Burleson, Cindy"
N00002221,   "Burr, Richard"
N00036237,   "Bussell, Hugh"
N00033390,   "Bustos, Cheri"
N00027035,   "Butterfield, G K"
N00034089,   "Byrd, Jeff"
N00035380,   "Byrne, Bradley"
N00035436,   "Byrnes, Pam"
N00034726,   "Cadien, Tawana W"
N00035433,   "Cain, Emily"
N00035362,   "Callis, Ann"
N00007099,   "Calvert, Ken"
N00008086,   "Camp, Dave"
N00025982,   "Campbell, Douglas"
N00027565,   "Campbell, John"
N00033999,   "Campos, Benjamin"
N00036762,   "Cannon, Allen"
N00035515,   "Cannon, Jerry"
N00007836,   "Cantwell, Maria"
N00009771,   "Capito, Shelley Moore"
N00007232,   "Capps, Lois"
N00000267,   "Capuano, Michael E"
N00033373,   "Cardenas, Tony"
N00001955,   "Cardin, Ben"
N00034135,   "Cargas, James"
N00032688,   "Carlson, Steve"
N00030736,   "Carney, John"
N00012508,   "Carper, Tom"
N00036625,   "Carpio, Monica"
N00035827,   "Carr, Elan"
N00036757,   "Carr, James"
N00032554,   "Carr, William R"
N00029513,   "Carson, Andre"
N00036022,   "Carson, Jeffrey"
N00035346,   "Carter, Buddy"
N00036456,   "Carter, Jerry"
N00025095,   "Carter, John"
N00034128,   "Cartwright, Matt"
N00035216,   "Cary, Michael"
N00027503,   "Casey, Bob"
N00035325,   "Casey, Nick"
N00030245,   "Cassidy, Bill"
N00036310,   "Casteen, J Wesley"
N00027514,   "Castor, Kathy"
N00033316,   "Castro, Joaquin"
N00034795,   "Cavanagh, Daniel J"
N00035842,   "Cavanagh, Lori Hopkins"
N00027227,   "Cavasso, Cam"
N00036402,   "Celis, Pedro"
N00036735,   "Chabot, Brian"
N00036102,   "Chabot, Paul"
N00003689,   "Chabot, Steve"
N00036537,   "Chaffee, Chris"
N00028958,   "Chaffetz, Jason"
N00002685,   "Chambliss, Saxby"
N00036722,   "Chance, David"
N00035893,   "Chapman, John"
