Sector, Agribusiness, Contruction, Communications/Electronics, Defense, Energy/Natural_Resources, Finance/Insurance/Real_Estate, Business, Health, Conservative_Ideology, Liberal_Ideology, Democratic_Leadership, Republican_Leadership, Pro_Israel, Anti_Castro, Gun_Control, Gun_Rights, Pro_Life, Pro_Choice, Social_Security, LGBT_Rights, Womens_Rights, Minority/Ethnic_Groups, Anti_Union, Pro_War, Anti_War, Environment, Health/Welfare_Policy, Legal_Services, Corporate_Lawyers, Lobbyists, Unions, Manufacturing, Transportation, Other, Unknown, 
Filemon Vela,1500, 58550, 5500, 0, 2250, 18900, 5700, 16850, 0, 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11300, 250, 550, 4400, 18400, 148819, 
Gene Green,1000, 4600, 9000, 1250, 1600, 26500, 13500, 18650, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3200, 0, 5000, 8500, 4500, 20000, 
Bill Owens,1500, 2250, 7600, 0, 2650, 26768, 9227, 12450, 750, 4300, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4500, 5950, 0, 250, 2400, 27650, 68283, 
Sean Patrick Maloney,6700, 23856, 82073, 2600, 11550, 206943, 72990, 66950, 0, 19800, 11200, 0, 11650, 0, 0, 0, 0, 11050, 0, 32050, 0, 0, 0, 0, 0, 8800, 0, 0, 21036, 25250, 11200, 20700, 1500, 104542, 172191, 
Jim Matheson,250, 1500, 8250, 12850, 8500, 14500, 5714, 34353, 0, 4500, 2019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9000, 11100, 15000, 17100, 13750, 26732, 
William Enyart,10100, 7400, 4100, 4500, 2000, 28750, 22600, 9700, 0, 2000, 1500, 0, 18800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12846, 4301, 0, 2600, 40000, 51800, 
Ruben Hinojosa,0, 0, 1000, 0, 5000, 10500, 11000, 17211, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2500, 7450, 0, 1500, 11200, 9800, 
John Barrow,23800, 5100, 21581, 9000, 22100, 67400, 26050, 46163, 0, 2600, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2500, 0, 0, 1500, 20050, 13000, 16250, 13946, 71172, 95396, 
John A Yarmuth,1000, 1500, 0, 0, 500, 9750, 3500, 7850, 0, 3750, 17602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2250, 0, 0, 0, 0, 4000, 0, 0, 0, 250, 7200, 250, 0, 26250, 14000, 
Cheri Bustos,13996, 5400, 9750, 250, 10165, 54259, 30772, 59641, 0, 9900, 9000, 0, 24328, 0, 0, 0, 0, 2200, 0, 1000, 43944, 0, 0, 0, 500, 1958, 2634, 0, 7050, 16050, 6764, 3500, 7821, 101294, 116021, 
Terri A Sewell,11550, 10250, 6250, 3550, 3500, 62279, 17150, 20779, 0, 3250, 3000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6250, 10686, 12250, 5600, 5998, 29800, 61592, 
Jim Costa,96850, 28850, 6850, 0, 20866, 34400, 45800, 21550, 5000, 0, 0, 6200, 5000, 0, 0, 3200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000, 24900, 1500, 3300, 8200, 20150, 67367, 
Sanford Bishop,6200, 7525, 2150, 2500, 6500, 17725, 22500, 26650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 2500, 18650, 2150, 3801, 6000, 27800, 63690, 
Al Green,1550, 4104, 0, 2000, 3250, 28533, 3300, 4350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 0, 0, 0, 7250, 0, 500, 3000, 3950, 41450, 
Collin Peterson,115550, 200, 600, 0, 6850, 13950, 8000, 1150, 1000, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 15800, 2000, 6000, 250, 9150, 17500, 
Jim Cooper,3100, 12700, 6200, 3900, 4100, 46800, 12050, 15600, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 5100, 5200, 1000, 15000, 18300, 24550, 
Henry Cuellar,4475, 26100, 8850, 500, 31450, 37850, 44650, 29885, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1500, 26850, 2500, 5500, 11250, 11710, 161308, 
Patrick E Murphy,15650, 90714, 19500, 1500, 17600, 193489, 86451, 52420, 0, 36342, 7970, 0, 45770, 765, 0, 0, 0, 3000, 0, 1000, 0, 0, 0, 0, 1000, 6100, 0, 0, 9850, 56047, 1800, 6600, 7350, 194875, 344592, 
Mike McIntyre,3750, 2599, 0, 3000, 2000, 23900, 19264, 5500, 0, 2250, 0, 0, 500, 0, 0, 0, 0, 500, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7251, 4900, 2500, 9000, 18100, 26550, 
